BLOCK,FLOOR,FLAT,PRICE,SFA
10,28,D,9.179093136,587
12,28,A,9.155185917,587
10,31,D,9.147514432,587
10,26,D,9.14605234,587
10,32,D,9.139576108,587
9,29,A,9.135079472,587
9,23,D,9.132051315,587
11,30,A,9.129884789,587
9,30,D,9.121458795,587
12,29,A,9.121240861,587
11,28,A,9.120341949,587
10,25,D,9.119307342,587
10,28,D,9.11750673,587
12,30,A,9.115059459,587
9,33,D,9.112621106,587
12,31,A,9.109493474,587
11,29,D,9.107936256,587
9,32,D,9.100684967,587
9,25,D,9.099307709,587
10,22,A,9.086983596,587
11,28,D,9.086317091,587
9,26,A,9.076400255,587
10,26,A,9.073235678,587
11,33,D,9.072915306,587
10,31,A,9.071267981,587
12,25,A,9.067926146,587
9,19,D,9.062764345,587
11,30,A,9.06271549,587
12,29,D,9.059091098,587
9,27,A,9.054924055,587
11,30,A,9.051866562,587
12,21,A,9.048582276,587
12,31,A,9.046779248,587
9,23,A,9.045873314,587
9,29,D,9.045762688,587
10,22,A,9.044774486,587
12,33,D,9.044559532,587
12,25,D,9.040185928,587
12,25,A,9.040159428,587
11,22,A,9.038921621,587
10,20,A,9.038458459,587
12,21,D,9.037446259,587
12,30,D,9.033714743,587
11,27,A,9.032640792,587
11,33,A,9.030827949,587
12,31,A,9.030428894,587
11,31,D,9.029036252,587
9,21,D,9.023838364,587
9,19,A,9.02358369,587
10,26,D,9.020548618,587
11,26,D,9.019026816,587
12,22,D,9.017649338,587
12,26,A,9.016564695,587
12,28,A,9.014956571,587
12,20,D,9.013335082,587
11,29,A,9.009734657,587
11,21,A,9.008629321,587
12,18,A,9.005960588,587
11,19,A,9.005834413,587
9,19,A,9.004793049,587
12,26,D,9.003463083,587
11,30,D,9.003454975,587
9,17,A,9.002888612,587
9,22,D,9.002363512,587
10,20,A,9.000382173,587
10,32,D,8.999213251,587
9,17,A,8.997563316,587
12,19,D,8.994709188,587
12,26,D,8.993366139,587
10,20,A,8.993010839,587
9,16,D,8.992480955,587
9,32,A,8.992246479,587
12,22,A,8.988908394,587
11,18,D,8.979800378,587
11,22,A,8.979297825,587
10,29,A,8.977307951,587
9,25,A,8.976374975,587
12,25,A,8.973916526,587
12,23,A,8.971083932,587
9,32,D,8.970430782,587
10,27,D,8.970121401,587
9,32,A,8.96831825,587
11,21,A,8.9654033,587
11,28,D,8.96472382,587
12,18,A,8.962755293,587
10,22,A,8.961587643,587
9,26,A,8.954116745,587
12,25,A,8.946133591,587
10,23,D,8.944592459,587
11,18,D,8.940736127,587
10,33,A,8.940626448,587
12,21,A,8.940276497,587
11,24,D,8.939091632,587
9,16,A,8.936230186,587
11,32,A,8.936096174,587
11,17,D,8.934957452,587
12,23,D,8.932004689,587
11,16,A,8.927791948,587
12,19,A,8.927118306,587
8,31,D,8.926348399,587
11,25,A,8.92552833,587
11,16,A,8.924976749,587
11,22,A,8.91901282,587
9,27,A,8.918795154,587
11,31,D,8.918306617,587
12,30,A,8.918171678,587
11,17,D,8.918039031,587
10,17,D,8.916638511,587
11,33,D,8.914580163,587
12,24,A,8.914378245,587
8,28,A,8.912781627,587
8,25,D,8.912609162,587
11,25,D,8.912082735,587
10,26,D,8.911243695,587
12,24,D,8.909322435,587
10,16,D,8.906028353,587
9,23,A,8.904079407,587
12,19,D,8.903126013,587
12,24,D,8.901119619,587
10,24,A,8.897878121,587
10,27,A,8.897686012,587
12,16,A,8.891260582,587
11,22,A,8.88975247,587
8,25,D,8.889709735,587
12,34,A,8.881281137,587
9,16,D,8.877449243,587
8,22,D,8.876121684,587
8,22,A,8.869025472,587
10,16,D,8.868608104,587
10,29,A,8.86816721,587
8,31,D,8.866834922,587
10,15,A,8.864410916,587
10,27,D,8.863740542,587
11,15,A,8.859970658,587
9,18,A,8.858498253,587
12,24,A,8.857824653,587
8,30,D,8.855461625,587
10,16,D,8.85510264,587
8,30,D,8.853020096,587
11,21,A,8.852086171,587
9,30,D,8.851920822,587
10,22,D,8.851173279,587
10,16,D,8.846361541,587
10,25,A,8.842809426,587
12,19,A,8.842031453,587
12,34,A,8.840498165,587
11,18,A,8.838745889,587
10,23,D,8.837707127,587
12,26,A,8.837310438,587
11,15,D,8.836751689,587
8,30,D,8.83001129,587
10,20,A,8.828009501,587
12,15,D,8.826490616,587
9,13,A,8.825582047,587
10,26,D,8.82372548,587
9,31,D,8.819059593,587
12,23,A,8.819039108,587
9,33,D,8.812769775,587
8,21,D,8.812739962,587
11,19,D,8.812331259,587
11,19,A,8.811724057,587
8,18,D,8.811325197,587
9,32,A,8.804449305,587
11,28,D,8.80355235,587
11,28,A,8.802424099,587
11,28,A,8.802424099,587
12,24,A,8.800164499,587
11,15,D,8.798741384,587
9,33,A,8.798255707,587
11,34,A,8.798179863,587
8,20,A,8.797996321,587
8,27,A,8.795964684,587
12,13,A,8.793921467,587
12,30,A,8.793758043,587
11,16,D,8.792183374,587
9,11,D,8.791662366,587
9,16,D,8.787788477,587
12,34,D,8.787253722,587
10,15,A,8.786011008,587
11,15,A,8.78095218,587
12,15,D,8.780872271,587
12,29,D,8.780868157,587
10,18,A,8.779178598,587
11,33,D,8.776631834,587
9,12,A,8.775432539,587
10,33,D,8.772411763,587
9,11,D,8.772259438,587
10,13,D,8.77150257,587
8,33,A,8.769327602,587
11,15,D,8.768469461,587
8,26,D,8.767703842,587
8,21,D,8.76600365,587
8,18,A,8.763714959,587
12,16,D,8.761319238,587
12,26,D,8.761248523,587
9,21,A,8.760134927,587
10,17,D,8.759623476,587
10,19,D,8.755579184,587
12,16,D,8.754262072,587
10,14,D,8.751104613,587
9,21,A,8.749558153,587
9,24,A,8.748657979,587
12,25,D,8.744759871,587
11,22,D,8.744148859,587
11,22,D,8.744148859,587
8,17,A,8.741868251,587
11,33,D,8.741283003,587
11,24,D,8.740233428,587
10,19,A,8.739487525,587
8,24,A,8.738853693,587
8,34,A,8.738616142,587
8,34,A,8.737768142,587
9,28,A,8.736863851,587
12,24,A,8.736312171,587
8,16,D,8.729854827,587
12,11,A,8.72954367,587
10,12,D,8.72785757,587
9,16,A,8.725978422,587
12,19,D,8.717553918,587
8,32,A,8.716111037,587
8,34,A,8.712770248,587
12,13,A,8.711801934,587
12,16,A,8.710071874,587
8,27,A,8.700559622,587
10,19,D,8.696897807,587
11,22,D,8.696349388,587
8,17,A,8.690836925,587
12,16,D,8.687294784,587
12,18,A,8.683324263,587
8,34,A,8.683155892,587
9,10,D,8.683129337,587
9,10,A,8.681034197,587
11,34,A,8.680180869,587
9,10,A,8.679193346,587
11,13,A,8.675544017,587
8,18,A,8.668360236,587
11,12,A,8.665385991,587
10,16,A,8.663920145,587
9,34,D,8.662968847,587
10,12,D,8.66076194,587
10,11,A,8.660580761,587
10,34,A,8.658956444,587
12,24,D,8.656040751,587
11,14,A,8.655101673,587
8,21,D,8.654007329,587
9,13,D,8.653406922,587
12,9,A,8.651088447,587
9,10,D,8.650961884,587
8,22,A,8.650583773,587
10,11,D,8.649375096,587
8,21,A,8.647473075,587
10,8,D,8.645766925,587
12,15,D,8.642971325,587
10,15,D,8.641871069,587
8,26,A,8.640221057,587
8,32,A,8.637067174,587
11,8,A,8.631773632,587
12,8,A,8.630682333,587
10,8,D,8.628256582,587
12,12,D,8.62655036,587
8,13,D,8.620018425,587
11,13,D,8.619878089,587
11,25,D,8.619491821,587
12,34,A,8.618963099,587
11,34,A,8.616529312,587
11,17,D,8.615481673,587
10,9,A,8.612270948,587
8,21,A,8.611003178,587
10,9,A,8.609608569,587
12,11,D,8.603769904,587
8,26,D,8.603016682,587
10,10,D,8.598034934,587
10,11,A,8.596980924,587
8,19,D,8.596766754,587
9,7,A,8.595870576,587
12,12,A,8.595275862,587
9,7,A,8.590689001,587
10,15,A,8.585223723,587
12,14,D,8.584363386,587
12,27,D,8.580019639,587
8,33,A,8.578226393,587
9,9,A,8.574936204,587
8,24,D,8.57129177,587
12,9,D,8.571072863,587
11,12,A,8.568157827,587
10,7,D,8.56678242,587
8,20,D,8.566603929,587
10,7,A,8.558866637,587
8,12,D,8.557349092,587
11,21,A,8.556795386,587
8,11,D,8.553981067,587
12,7,A,8.552741148,587
12,13,D,8.552526837,587
8,32,A,8.552092407,587
12,29,A,8.548938087,587
10,8,D,8.543722303,587
8,22,A,8.542069564,587
9,9,A,8.538881522,587
9,7,D,8.533861053,587
10,13,D,8.531670221,587
12,7,A,8.531362209,587
8,17,D,8.527440486,587
8,13,D,8.5267877,587
11,13,A,8.526562199,587
10,7,D,8.52524248,587
11,14,D,8.524394179,587
9,12,D,8.524237223,587
10,6,D,8.520255231,587
10,6,D,8.512889766,587
11,12,D,8.505658465,587
11,22,A,8.505508918,587
10,11,D,8.500867375,587
12,7,A,8.500686769,587
12,9,A,8.498908439,587
12,8,A,8.497887381,587
9,7,D,8.497006666,587
12,11,D,8.494674017,587
9,9,A,8.486757787,587
9,34,A,8.485976021,587
12,29,D,8.48485476,587
9,23,A,8.483390374,587
11,11,D,8.480462829,587
11,8,A,8.477815779,587
9,24,A,8.475427403,587
11,6,A,8.473072729,587
9,5,A,8.472611622,587
9,5,D,8.469734222,587
11,8,D,8.467023725,587
8,9,D,8.465346976,587
9,5,D,8.464193681,587
8,12,D,8.462687963,587
8,10,D,8.460399189,587
10,7,A,8.459512007,587
8,15,A,8.457626527,587
12,8,D,8.457613758,587
10,6,A,8.456367475,587
10,9,A,8.455832912,587
10,7,A,8.454897173,587
12,9,A,8.454004014,587
9,6,A,8.449498573,587
8,11,A,8.445539005,587
10,5,A,8.442833907,587
10,5,A,8.442335043,587
9,28,H,8.441877841,561
8,28,H,8.441220772,561
8,25,D,8.440766733,587
8,13,D,8.440430449,587
12,9,D,8.437963344,587
11,27,D,8.43776223,587
8,11,A,8.434586578,587
8,12,D,8.430422041,587
9,6,A,8.429885625,587
8,8,A,8.425670887,587
12,5,D,8.424357919,587
8,11,D,8.421875175,587
10,8,D,8.417287123,587
12,15,D,8.411415646,587
10,11,A,8.411368609,587
