BLOCK,FLOOR,FLAT,PRICE,SFA
2,14,G,0.2,416
7,12,A,0.4,506
2,6,E,0.4,444
1,9,E,0.4,444
10,21,H,0.5,561
6,24,H,0.6,506
9,7,E,0.6,561
4,7,E,0.6,366
1,5,A,0.7,372
1,7,A,0.7,372
7,32,E,0.7,366
8,3,G,0.7,387
3,10,A,0.7,454
4,9,D,0.7,366
3,15,F,0.8,416
10,10,C,0.8,431
2,6,A,0.8,372
3,31,C,0.8,362
1,13,A,0.8,372
6,30,D,0.8,366
7,30,D,0.8,366
4,26,D,0.8,366
11,17,F,0.8,387
9,30,F,0.8,387
1,12,B,0.8,416
4,19,E,0.8,366
4,17,F,0.8,440
6,15,B,0.8,412
8,10,F,0.8,194
9,23,A,0.8,587
9,23,E,0.8,561
9,20,F,0.8,387
5,4,D,0.8,366
1,33,E,0.8,444
7,8,D,0.8,366
8,3,G,0.8,387
8,24,F,0.8,387
10,3,F,0.8,387
1,8,C,0.8,416
5,18,C,0.8,440
5,4,C,0.8,440
6,7,D,0.8,366
3,6,D,0.9,451
6,17,C,0.9,435
7,24,E,0.9,366
12,33,F,0.9,387
2,19,F,0.9,416
8,19,F,0.9,387
2,12,F,0.9,416
6,11,C,0.9,435
6,10,F,0.9,440
7,12,A,0.9,506
12,12,H,0.9,561
1,7,A,0.9,372
1,30,C,0.9,416
3,21,A,0.9,454
10,4,F,0.9,387
10,13,G,0.9,387
12,3,F,0.9,387
1,8,C,0.9,416
10,7,B,0.9,431
3,25,F,0.9,416
5,19,A,0.9,506
6,28,D,0.9,366
6,4,H,0.9,506
7,8,D,0.9,366
8,11,B,0.9,431
8,20,G,0.9,387
8,18,B,0.9,431
9,34,H,0.9,561
10,28,D,0.9,587
10,9,F,0.9,387
10,23,G,0.9,387
11,7,G,0.9,387
1,7,H,0.9,372
2,23,B,0.9,419
7,28,F,0.9,440
12,32,F,0.9,387
3,33,C,0.9,362
7,32,F,0.9,440
10,30,F,0.9,387
1,5,E,0.9,444
3,16,D,0.9,451
7,31,F,0.9,440
11,32,F,0.9,387
12,6,B,0.9,431
2,24,G,0.9,416
2,24,F,0.9,416
3,10,C,0.9,362
8,32,G,0.9,387
1,4,A,1.0,372
3,6,D,1.0,451
4,13,H,1.0,506
5,22,E,1.0,366
5,12,E,1.0,366
5,31,C,1.0,440
7,13,E,1.0,366
7,16,F,1.0,440
8,8,A,1.0,587
8,7,B,1.0,431
1,4,H,1.0,372
7,32,D,1.0,366
7,17,C,1.0,440
9,19,C,1.0,431
