BLOCK,FLOOR,FLAT,PRICE,SFA
10,28,D,9.18,587
12,28,A,9.16,587
10,31,D,9.15,587
10,26,D,9.15,587
10,32,D,9.14,587
9,29,A,9.14,587
9,23,D,9.13,587
11,30,A,9.13,587
9,30,D,9.12,587
12,29,A,9.12,587
11,28,A,9.12,587
10,25,D,9.12,587
10,28,D,9.12,587
12,30,A,9.12,587
9,33,D,9.11,587
12,31,A,9.11,587
11,29,D,9.11,587
9,32,D,9.10,587
9,25,D,9.10,587
10,22,A,9.09,587
11,28,D,9.09,587
9,26,A,9.08,587
10,26,A,9.07,587
11,33,D,9.07,587
10,31,A,9.07,587
12,25,A,9.07,587
9,19,D,9.06,587
11,30,A,9.06,587
12,29,D,9.06,587
9,27,A,9.05,587
11,30,A,9.05,587
12,21,A,9.05,587
12,31,A,9.05,587
9,23,A,9.05,587
9,29,D,9.05,587
10,22,A,9.04,587
12,33,D,9.04,587
12,25,D,9.04,587
12,25,A,9.04,587
11,22,A,9.04,587
10,20,A,9.04,587
12,21,D,9.04,587
12,30,D,9.03,587
11,27,A,9.03,587
11,33,A,9.03,587
12,31,A,9.03,587
11,31,D,9.03,587
9,21,D,9.02,587
9,19,A,9.02,587
10,26,D,9.02,587
11,26,D,9.02,587
12,22,D,9.02,587
12,26,A,9.02,587
12,28,A,9.01,587
12,20,D,9.01,587
11,29,A,9.01,587
11,21,A,9.01,587
12,18,A,9.01,587
11,19,A,9.01,587
9,19,A,9.00,587
12,26,D,9.00,587
11,30,D,9.00,587
9,17,A,9.00,587
9,22,D,9.00,587
10,20,A,9.00,587
10,32,D,9.00,587
9,17,A,9.00,587
12,19,D,8.99,587
12,26,D,8.99,587
10,20,A,8.99,587
9,16,D,8.99,587
9,32,A,8.99,587
12,22,A,8.99,587
11,18,D,8.98,587
11,22,A,8.98,587
10,29,A,8.98,587
9,25,A,8.98,587
12,25,A,8.97,587
12,23,A,8.97,587
9,32,D,8.97,587
10,27,D,8.97,587
9,32,A,8.97,587
11,21,A,8.97,587
11,28,D,8.96,587
12,18,A,8.96,587
10,22,A,8.96,587
9,26,A,8.95,587
12,25,A,8.95,587
10,23,D,8.94,587
11,18,D,8.94,587
10,33,A,8.94,587
12,21,A,8.94,587
11,24,D,8.94,587
9,16,A,8.94,587
11,32,A,8.94,587
11,17,D,8.93,587
12,23,D,8.93,587
11,16,A,8.93,587
12,19,A,8.93,587
8,31,D,8.93,587
11,25,A,8.93,587
11,16,A,8.92,587
11,22,A,8.92,587
9,27,A,8.92,587
11,31,D,8.92,587
12,30,A,8.92,587
11,17,D,8.92,587
10,17,D,8.92,587
11,33,D,8.91,587
12,24,A,8.91,587
8,28,A,8.91,587
8,25,D,8.91,587
11,25,D,8.91,587
10,26,D,8.91,587
12,24,D,8.91,587
10,16,D,8.91,587
9,23,A,8.90,587
12,19,D,8.90,587
12,24,D,8.90,587
10,24,A,8.90,587
10,27,A,8.90,587
12,16,A,8.89,587
11,22,A,8.89,587
8,25,D,8.89,587
12,34,A,8.88,587
9,16,D,8.88,587
8,22,D,8.88,587
8,22,A,8.87,587
10,16,D,8.87,587
10,29,A,8.87,587
8,31,D,8.87,587
10,15,A,8.86,587
10,27,D,8.86,587
11,15,A,8.86,587
9,18,A,8.86,587
12,24,A,8.86,587
8,30,D,8.86,587
10,16,D,8.86,587
8,30,D,8.85,587
11,21,A,8.85,587
9,30,D,8.85,587
10,22,D,8.85,587
10,16,D,8.85,587
10,25,A,8.84,587
12,19,A,8.84,587
12,34,A,8.84,587
11,18,A,8.84,587
10,23,D,8.84,587
12,26,A,8.84,587
11,15,D,8.84,587
8,30,D,8.83,587
10,20,A,8.83,587
12,15,D,8.83,587
9,13,A,8.83,587
10,26,D,8.82,587
9,31,D,8.82,587
12,23,A,8.82,587
9,33,D,8.81,587
8,21,D,8.81,587
11,19,D,8.81,587
11,19,A,8.81,587
8,18,D,8.81,587
9,32,A,8.80,587
11,28,D,8.80,587
11,28,A,8.80,587
11,28,A,8.80,587
12,24,A,8.80,587
11,15,D,8.80,587
9,33,A,8.80,587
11,34,A,8.80,587
8,20,A,8.80,587
8,27,A,8.80,587
12,13,A,8.79,587
12,30,A,8.79,587
11,16,D,8.79,587
9,11,D,8.79,587
9,16,D,8.79,587
12,34,D,8.79,587
10,15,A,8.79,587
11,15,A,8.78,587
12,15,D,8.78,587
12,29,D,8.78,587
10,18,A,8.78,587
11,33,D,8.78,587
9,12,A,8.78,587
10,33,D,8.77,587
9,11,D,8.77,587
10,13,D,8.77,587
8,33,A,8.77,587
11,15,D,8.77,587
8,26,D,8.77,587
8,21,D,8.77,587
8,18,A,8.76,587
12,16,D,8.76,587
12,26,D,8.76,587
